objective/training/accuracy_reward,objective/training/accuracy_reward_std,objective/training/format_reward,objective/training/format_reward_std,objective/training/total_reward,tokens/training/prompt_length,tokens/training/completion_length,tokens/training/completion_length_std,tokens/training/completion_length_max,tokens/training/completion_length_min,tokens/training/completion_length_max_ratio,tokens/training/completion_length_p99,tokens/training/Wait_count,elapsed/generation_time,elapsed/generation_episodes,elapsed/explore_epsilon,training/loss/pg,training/loss/entropy,training/entropy,training/entropy_std,training/grad_norm,elapsed/train_time,elapsed/policy_update,elapsed/reference_update,training/learning_rate,elapsed/step_time,step
0.4375,0.899218410621135,0.98828125,0.15264393502015564,0.435546875,117.15625,236.408203125,160.00093801938706,1000,4,0.01171875,1000.0,160,303.30790662765503,1024.0,0.5,-0.0002963141887448728,0.0,17.48920886591077,6.1758006288247955,7.681345999240875,224.0942986011505,16.0,0.0,5e-07,528.0766897201538,0
0.630859375,0.775897189693718,0.990234375,0.13941263417767907,0.62890625,109.40625,220.72265625,129.33266681486288,1000,3,0.0029296875,668.54,111,265.1317927837372,2048.0,0.49987661838531494,-0.000857885621371679,0.0,14.868059933185577,5.469763925003174,6.727360226213932,220.4493749141693,32.0,0.0,5e-07,485.8520314693451,1
0.435546875,0.9001660511693019,0.978515625,0.20617267430690076,0.431640625,107.21875,225.2919921875,131.997979145042,1000,4,0.005859375,793.1599999999999,161,287.54677510261536,3072.0,0.4995066821575165,-0.0007918130286270753,0.0,17.04621332883835,6.641120371752191,6.15607562661171,221.60857391357422,48.0,0.0,5e-07,509.44061946868896,2
0.56640625,0.8241261796357021,0.9765625,0.2152340205305611,0.564453125,106.125,219.544921875,128.27546779597083,1000,4,0.0068359375,786.9099999999985,110,292.6538667678833,4096.0,0.4988904893398285,-0.0004140930250287056,0.0,15.914839718490839,5.675509651640709,3.2959051206707954,218.9317238330841,64.0,0.0,5e-07,511.86383748054504,3
0.75390625,0.6569820136129584,0.990234375,0.13941263417767907,0.751953125,108.34375,222.2626953125,109.46413481814622,1000,5,0.0048828125,518.0,50,242.59700345993042,5120.0,0.4980286955833435,-7.345780613832176e-05,0.0,14.351249754428864,4.562740454869289,2.5524774082005024,213.42294836044312,80.0,0.0,5e-07,456.28519582748413,4
0.5546875,0.8320587583480809,0.98046875,0.1966749355495954,0.5546875,110.5625,231.0185546875,150.90576998092575,1000,5,0.015625,1000.0,197,308.7124032974243,6144.0,0.4969220757484436,-0.0004664007283281535,0.0,17.029822755604982,5.971796164196973,4.016902506351471,222.47912454605103,96.0,0.0,5e-07,531.4599936008453,5
0.513671875,0.8579867160008856,0.96484375,0.26282415810944304,0.51171875,116.71875,238.7197265625,152.96963598288954,1000,4,0.013671875,1000.0,144,317.3395609855652,7168.0,0.4955717921257019,-0.00012350096949376166,0.0,17.150050330907106,5.9940953104720425,2.911750130355358,228.8537471294403,112.0,0.0,5e-07,546.4735400676727,6
0.501953125,0.8648948261509802,0.978515625,0.20617267430690076,0.5,107.1875,234.5341796875,127.5154280023557,1000,4,0.005859375,648.6999999999998,102,279.21343326568604,8192.0,0.49397918581962585,-0.00045799427607562393,0.0,17.11656203866005,6.166633567732157,5.194124788045883,216.26393055915833,128.0,0.0,5e-07,495.7554771900177,7
0.626953125,0.7790569806199893,0.98828125,0.15264393502015564,0.619140625,114.03125,236.6044921875,128.63686936297754,1000,2,0.0048828125,602.54,95,277.622629404068,9216.0,0.4921457767486572,9.431663784198463e-05,0.0,14.832714088261127,4.6667796574494576,5.652828060090542,225.37913012504578,144.0,0.0,5e-07,503.27054381370544,8
0.458984375,0.8884443390026521,0.986328125,0.1647932942627957,0.45703125,103.625,203.1845703125,126.75660314797112,1000,3,0.00390625,688.039999999999,142,274.7805199623108,10240.0,0.49007344245910645,-0.0005924679571762681,0.0,15.944633483886719,5.379385793714866,9.688190266489983,212.65903759002686,160.0,0.0,5e-07,487.72011137008667,9
0.451171875,0.8924370785713603,0.978515625,0.20617267430690076,0.443359375,121.5625,234.01953125,141.37766496084265,1000,4,0.013671875,1000.0,185,317.9439306259155,11264.0,0.4877641201019287,-0.0005837573116878048,0.0,18.09686258994043,6.124521631833736,4.325675591826439,228.71608471870422,176.0,0.0,5e-07,546.9260416030884,10
0.564453125,0.8254651232352185,0.982421875,0.18667420689930458,0.560546875,112.28125,221.990234375,131.77690331914226,1000,5,0.0107421875,975.6199999999981,145,305.8636281490326,12288.0,0.48522019386291504,8.93692922545597e-05,0.0,16.534434350207448,6.006941999413963,4.152272097766399,222.01071500778198,192.0,0.0,5e-07,528.1568496227264,11
0.55859375,0.8294413918179738,0.98828125,0.15264393502015564,0.55859375,112.40625,231.8173828125,130.03962305784083,1000,4,0.0068359375,798.9499999999994,87,271.2743284702301,13312.0,0.4824441075325012,0.0005458431696752086,0.0,16.78576084971428,5.172858621485428,5.558988653123379,223.18362855911255,208.0,0.0,5e-07,494.7697207927704,12
0.57421875,0.8187019159306014,0.9921875,0.12475562048961962,0.57421875,110.875,228.3828125,117.31955866442237,1000,5,0.0048828125,673.8799999999992,117,269.87076330184937,14336.0,0.4794386625289917,0.0002533777733333409,0.0,16.323243506252766,5.46709985721251,1.903016410768032,218.89265251159668,224.0,0.0,5e-07,489.0506730079651,13
